census_tract,pop_total,pop_hl,pop_white_non_hl,prop_hl,prop_white_non_hl,median_income
34001000100,2114,364,423,0.17218543046357615,0.2000946073793756,31836
34001000200,3414,1321,1133,0.3869361452841242,0.3318687756297598,44375
34001000300,3975,1856,430,0.4669182389937107,0.10817610062893082,40568
34001000400,3326,1278,902,0.3842453397474444,0.27119663259170174,32577
34001000500,3200,1404,287,0.43875,0.0896875,43450
34001001100,1842,249,77,0.13517915309446255,0.041802388707926165,15011
34001001200,2799,289,85,0.10325116112897463,0.03036798856734548,33400
34001001300,1740,223,84,0.12816091954022987,0.04827586206896552,34673
34001001400,3410,1170,349,0.34310850439882695,0.10234604105571847,20077
34001001500,1448,241,111,0.1664364640883978,0.07665745856353591,17552
34001001900,1594,236,399,0.1480552070263488,0.25031367628607276,38333
34001002300,2585,1585,255,0.6131528046421664,0.09864603481624758,38257
34001002400,2887,949,608,0.32871492899203325,0.2105992379632837,21984
34001002500,4147,1012,455,0.2440318302387268,0.109717868338558,20347
34001010101,3306,259,2840,0.07834240774349667,0.8590441621294616,116500
34001010102,1444,37,1388,0.025623268698060944,0.961218836565097,95298
34001010104,1088,58,951,0.05330882352941176,0.8740808823529411,50893
34001010105,2052,189,1527,0.09210526315789473,0.7441520467836257,64681
34001010200,6421,908,4974,0.14141099517209157,0.7746456938171624,67889
34001010300,2618,913,820,0.3487394957983193,0.31321619556913677,56696
34001010401,6186,352,5170,0.05690268347882315,0.835758163595215,103837
34001010403,8082,1669,3082,0.206508290027221,0.3813412521653056,84892
34001010501,7135,179,6274,0.02508759635599159,0.8793272599859846,71746
34001010503,6783,1445,2710,0.21303258145363407,0.39952823234556983,63875
34001010505,3097,366,2569,0.11817888278979657,0.8295124313852115,77083
34001010506,4790,633,3599,0.13215031315240083,0.751356993736952,91151
34001010600,4368,1204,1778,0.27564102564102566,0.40705128205128205,47424
34001010700,5839,314,5068,0.05377633156362391,0.8679568419249871,80682
34001010800,3154,593,2394,0.1880152187698161,0.7590361445783133,62125
34001010900,5754,1488,4032,0.2586027111574557,0.7007299270072993,66250
34001011000,2737,556,2121,0.2031421264157837,0.7749360613810742,97024
34001011100,3050,969,1991,0.3177049180327869,0.6527868852459017,76173
34001011201,1725,164,1535,0.09507246376811594,0.8898550724637682,106406
34001011202,7072,1013,5052,0.14324095022624433,0.7143665158371041,68908
34001011300,4489,1208,2550,0.2691022499443083,0.5680552461572733,74934
34001011401,4531,565,3204,0.12469653498124035,0.7071286691679541,85543
34001011403,5928,363,3875,0.061234817813765184,0.6536774628879892,67560
34001011404,10085,1177,5803,0.11670798215171047,0.5754090233019336,74519
34001011500,6902,1148,4412,0.1663286004056795,0.6392350043465662,77308
34001011600,5096,341,4366,0.06691522762951334,0.8567503924646782,71657
34001011702,3632,1558,1416,0.4289647577092511,0.3898678414096916,53705
34001011703,5237,644,2244,0.12297116669849151,0.4284895932785946,66226
34001011704,4418,900,2170,0.2037120869171571,0.49117247623358984,49327
34001011803,5392,1223,2724,0.22681750741839762,0.505192878338279,84949
34001011804,7503,1068,5441,0.14234306277489003,0.7251765960282553,87416
34001011805,2573,407,2038,0.15818111154294598,0.792071511853867,100275
34001011806,8599,669,5403,0.07779974415629724,0.6283288754506338,111429
34001011807,5249,470,3693,0.0895408649266527,0.7035625833492094,114693
34001011808,3395,640,2080,0.18851251840942562,0.6126656848306333,74467
34001011901,3746,2292,55,0.611852642819007,0.014682327816337427,42230
34001011902,4690,1899,535,0.4049040511727079,0.1140724946695096,46049
34001012000,4411,2286,684,0.5182498299705283,0.1550668782588982,44240
34001012100,2898,1496,244,0.5162180814354728,0.0841959972394755,38750
34001012200,5572,2379,491,0.4269562096195262,0.08811916726489591,44463
34001012302,3522,727,2223,0.2064168086314594,0.631175468483816,99451
34001012401,2895,168,2574,0.058031088082901555,0.8891191709844559,69854
34001012402,2002,190,1585,0.09490509490509491,0.7917082917082917,88173
34001012501,2447,88,2164,0.03596240294237842,0.8843481814466694,96689
34001012502,1532,113,1273,0.0737597911227154,0.8309399477806788,107195
34001012602,1444,293,1014,0.20290858725761773,0.7022160664819944,144792
34001012701,3119,193,2177,0.06187880731003527,0.6979801218339211,72974
34001012702,1631,158,1094,0.09687308399754752,0.6707541385652973,54375
34001012801,4035,926,2019,0.22949194547707558,0.5003717472118959,51667
34001012802,1685,155,1408,0.09198813056379822,0.8356083086053413,78981
34001013000,3086,70,2981,0.02268308489954634,0.9659753726506805,107875
34001013101,1052,47,992,0.04467680608365019,0.9429657794676806,168750
34001013102,1264,5,1199,0.003955696202531646,0.9485759493670886,92778
34001013201,2452,555,1316,0.2263458401305057,0.5367047308319739,65394
34001013202,2012,110,1639,0.05467196819085487,0.8146123260437376,72928
34001013301,2294,445,1548,0.19398430688753268,0.6748038360941587,65058
34001013302,2575,221,1898,0.0858252427184466,0.7370873786407767,74946
34001013500,2590,56,2187,0.021621621621621623,0.8444015444015444,116125
34001983400,2700,379,1804,0.14037037037037037,0.6681481481481482,
34001990000,0,0,0,NaN,NaN,
34003001001,3371,69,2636,0.02046870364876891,0.7819638089587659,149444
34003001002,3449,0,2525,0.0,0.732096259785445,195078
34003002100,1336,85,748,0.06362275449101797,0.5598802395209581,196875
34003002200,5394,645,2800,0.11957730812013348,0.5190952910641453,112610
34003002300,5666,258,3539,0.04553476879632898,0.6246028944581715,144390
34003003100,5580,1680,1910,0.3010752688172043,0.34229390681003585,103053
34003003200,5158,1712,1060,0.3319115936409461,0.2055060100814269,82540
34003003300,7071,1983,2328,0.2804412388629614,0.3292320746711922,126397
34003003401,2763,342,1604,0.1237785016286645,0.5805284111473037,127813
34003003402,3621,387,2460,0.10687655343827672,0.6793703396851698,144856
34003003500,3992,1801,858,0.45115230460921846,0.21492985971943887,63567
34003004001,3701,2032,1004,0.5490407997838422,0.2712780329640638,116400
34003004002,5129,2396,1833,0.4671475921232209,0.357379606161045,100862
34003005000,6358,1131,4565,0.17788612771311732,0.7179930795847751,108479
34003006101,3836,981,1954,0.2557351407716371,0.5093847758081335,91159
34003006102,3360,1243,1237,0.3699404761904762,0.36815476190476193,74554
34003006201,4645,1779,1890,0.3829924650161464,0.4068891280947255,73649
34003006202,4708,658,2426,0.13976210705182668,0.5152931180968564,120219
34003006301,4781,2959,1391,0.6189081782053963,0.29094331729763645,57083
34003006302,4185,1444,1767,0.34504181600955797,0.4222222222222222,110197
34003007001,4112,404,2012,0.09824902723735408,0.4892996108949416,146818
34003007002,4461,277,1983,0.06209370096390944,0.4445191661062542,178381
34003008001,4661,474,2729,0.1016949152542373,0.585496674533362,174318
34003008002,4435,306,2405,0.06899661781285231,0.5422773393461104,138021
34003009100,4977,148,3350,0.029736789230460116,0.6730962427164959,191346
34003009200,3341,89,2447,0.02663873091888656,0.7324154444777012,196932
34003010100,5703,1218,3226,0.2135718043135192,0.5656671927055935,110308
34003010200,4707,1301,2225,0.27639685574676015,0.47270023369449754,92485
34003010300,7652,1448,4250,0.18923157344485103,0.5554103502352327,111380
34003011100,5271,2320,1964,0.4401441851641055,0.3726048188199583,93725
34003011200,4661,1277,2335,0.27397554172924266,0.5009654580562111,59269
34003011300,5056,1076,2825,0.21281645569620253,0.5587420886075949,81310
34003011400,6251,1028,4169,0.1644536874100144,0.6669332906734923,74855
34003012001,6128,781,3808,0.12744778067885118,0.6214099216710183,86844
34003012002,3790,487,2307,0.12849604221635885,0.608707124010554,85388
34003013002,6382,1286,2506,0.20150423064869946,0.3926668755875901,112261
34003013003,3924,423,1139,0.10779816513761468,0.2902650356778797,129569
34003013004,3928,202,1183,0.05142566191446028,0.30117107942973526,133157
34003014000,7317,690,5542,0.0943009430094301,0.7574142408090747,135396
34003015100,2718,293,1978,0.10779985283296542,0.7277409860191317,154712
34003015200,6749,2866,748,0.42465550451918804,0.11083123425692695,87064
34003015300,5435,1630,124,0.2999080036798528,0.02281508739650414,59009
34003015401,4579,1424,1255,0.3109849312076873,0.27407730945621317,60301
34003015402,3056,429,1218,0.14037958115183247,0.39856020942408377,112639
34003015500,6592,950,4221,0.14411407766990292,0.6403216019417476,125147
34003016000,5358,492,2401,0.09182530795072788,0.4481149682717432,191875
34003017101,5575,810,4015,0.1452914798206278,0.7201793721973094,160667
34003017102,1987,112,1717,0.05636638147961751,0.8641167589330649,141250
34003017200,6384,1239,4114,0.19407894736842105,0.6444235588972431,110164
34003017301,3206,534,2396,0.16656269494697443,0.7473487211478478,171136
34003017302,3337,907,2412,0.27180101887923286,0.7228049145939467,134594
34003017400,5856,810,3962,0.13831967213114754,0.6765710382513661,168365
34003017501,4426,302,2858,0.06823316764572977,0.6457297785811116,125288
34003017502,4049,547,2396,0.13509508520622376,0.5917510496418869,105134
34003018101,5297,3341,1649,0.6307343779497829,0.31130828771002456,41992
34003018102,2615,1405,812,0.5372848948374761,0.31051625239005737,52835
34003018200,7006,3113,2917,0.44433342848986584,0.4163574079360548,65780
34003019102,3158,643,899,0.20360987967067765,0.28467384420519315,86500
34003019103,4377,563,1451,0.12862691341101212,0.33150559744116975,74046
34003019104,4113,542,1418,0.13177729151470946,0.34476051543885244,101145
34003019202,3213,571,1030,0.17771553065670712,0.32057267351385,100958
34003019203,3241,520,1542,0.16044430731255785,0.4757790805307004,90243
34003019204,3628,519,1424,0.1430540242557883,0.39250275633958104,60536
34003019303,5864,676,2086,0.11527967257844475,0.3557298772169168,81382
34003019304,2783,616,1015,0.22134387351778656,0.36471433704635287,146307
34003019305,7182,562,4060,0.0782511835143414,0.5653021442495126,110910
34003019306,2142,112,1158,0.05228758169934641,0.5406162464985994,145750
34003020100,4032,529,2988,0.13120039682539683,0.7410714285714286,151906
34003020200,7002,491,5676,0.07012282205084262,0.8106255355612683,221250
34003021101,4034,1625,2236,0.40282597917699553,0.5542885473475458,51852
34003021102,2359,409,1858,0.17337855023314963,0.7876218736752861,75345
34003021200,6354,2097,3800,0.330028328611898,0.598048473402581,85040
34003021300,4630,988,3299,0.21339092872570195,0.7125269978401728,66889
34003021400,5430,2032,3015,0.3742173112338858,0.5552486187845304,57118
34003021500,5345,3004,1760,0.562020579981291,0.3292797006548176,55822
34003021600,4329,2131,1507,0.49226149226149224,0.3481173481173481,65972
34003022100,4054,125,3407,0.030833744449926,0.840404538727183,166923
34003022200,8044,440,5773,0.05469915464942814,0.7176777722526106,189058
34003023100,3946,1378,781,0.34921439432336543,0.19792194627470858,63686
34003023201,3665,1372,1090,0.3743519781718963,0.29740791268758526,88662
34003023202,3171,828,1130,0.261116367076632,0.3563544623147272,96250
34003023301,3098,935,1198,0.30180761781794707,0.3867010974822466,132796
34003023303,3028,517,889,0.17073976221928666,0.29359313077939236,79787
34003023304,2380,257,739,0.10798319327731093,0.3105042016806723,84286
34003023401,3932,747,757,0.1899796541200407,0.19252288911495422,73676
34003023402,5676,1434,1338,0.2526427061310782,0.2357293868921776,70202
34003023501,3585,1227,880,0.3422594142259414,0.24546722454672246,60756
34003023502,5322,2908,1012,0.5464111236377301,0.19015407741450582,72853
34003023601,3123,1681,720,0.5382644892731349,0.23054755043227665,75212
34003023602,4797,3373,583,0.7031478007087764,0.12153429226599959,51362
34003024100,5870,396,3228,0.06746166950596252,0.5499148211243612,180568
34003024200,4801,209,3398,0.04353259737554676,0.7077692147469278,140958
34003025100,6462,2108,3126,0.326214794181368,0.48375116063138346,84507
34003025200,5658,574,4109,0.10144927536231885,0.7262283492400141,124375
34003026100,4498,180,3809,0.040017785682525564,0.846820809248555,183929
34003026200,5668,669,4290,0.11803105151729006,0.7568807339449541,146577
34003027000,4248,429,3022,0.10098870056497175,0.7113935969868174,244493
34003028001,5466,1533,1615,0.2804610318331504,0.2954628613245518,99420
34003028002,3817,616,1357,0.16138328530259366,0.35551480220068116,131250
34003029100,4210,959,1397,0.22779097387173397,0.3318289786223278,66058
34003029200,6763,2571,3113,0.38015673517669674,0.46029868401596924,89443
34003030100,6212,3315,2084,0.5336445589182228,0.33547971667739857,56250
34003030201,3956,1861,1706,0.47042467138523764,0.43124368048533873,72357
